Id,Response_2,Response_1,Response_3
1,3,2,3
3,6,6,6
4,6,6,6
9,7,7,6
12,7,8,7
13,8,7,7
21,7,6,7
28,8,8,8
30,5,4,4
36,8,7,8
38,8,8,8
43,7,6,6
45,2,2,2
48,8,8,8
50,6,6,6
51,8,7,7
54,6,5,6
55,8,8,8
59,8,8,8
62,2,2,2
63,8,8,8
66,8,8,8
69,8,8,8
82,8,8,8
83,6,6,6
84,6,6,6
86,8,8,8
89,8,8,8
90,2,2,3
92,7,6,7
98,6,6,6
100,1,1,1
105,4,3,5
115,8,8,8
119,1,1,1
124,1,1,2
127,8,8,8
133,7,7,7
140,5,5,5
141,8,8,8
143,1,1,1
151,2,2,3
154,8,7,8
157,8,8,8
163,3,2,4
166,1,1,2
168,8,8,8
170,6,5,6
173,8,8,8
180,6,6,6
182,8,8,8
184,6,5,6
185,8,7,8
195,8,8,8
196,6,6,7
197,6,5,5
212,6,6,6
213,8,8,8
219,8,8,8
225,2,2,2
227,5,4,5
232,5,5,4
239,6,6,5
247,5,5,5
251,4,4,4
254,5,5,5
261,6,6,7
264,6,6,6
267,8,8,8
272,8,8,8
275,8,8,8
277,2,2,2
283,6,6,6
284,1,1,1
287,6,7,7
291,8,8,8
293,6,6,6
294,2,2,2
305,6,5,7
307,5,5,4
309,8,8,8
311,3,3,3
322,2,2,2
323,2,2,3
326,6,6,6
330,1,1,2
335,8,8,8
337,7,8,7
338,5,5,5
341,1,1,1
346,6,6,5
348,5,5,5
352,2,2,3
356,8,8,8
358,2,1,2
366,6,6,5
369,2,3,3
373,6,6,6
375,3,2,3
381,6,6,5
384,8,8,8
386,6,6,5
396,7,7,8
397,1,1,2
399,7,6,7
405,8,8,8
412,8,8,7
417,1,2,2
421,5,5,4
425,7,7,7
427,8,8,8
430,5,2,4
432,5,5,5
433,8,8,8
436,8,8,8
438,7,7,7
441,8,8,8
442,5,6,6
444,5,5,5
446,7,8,8
448,8,8,8
450,6,6,6
454,8,8,8
465,8,8,8
470,4,2,6
472,2,3,3
475,8,8,8
484,8,8,8
495,8,8,8
