Id,Response_2,Response_1,Response_3
1,2,4,2
3,7,6,7
4,6,6,6
9,6,6,6
12,8,7,8
13,8,8,8
21,7,7,7
28,8,8,7
30,5,4,5
36,8,7,8
38,8,8,8
43,7,6,7
45,3,3,3
48,8,8,8
50,5,6,6
51,8,8,8
54,6,5,6
55,8,8,8
59,8,8,8
62,3,2,3
63,8,8,8
66,8,8,8
69,8,8,8
82,8,8,8
83,6,6,6
84,6,6,6
86,8,8,8
89,8,8,8
90,3,3,3
92,8,7,7
98,6,6,6
100,1,1,1
105,4,4,4
115,8,8,8
119,1,1,1
124,1,2,2
127,8,8,8
133,7,7,7
140,5,5,5
141,8,8,8
143,1,1,1
151,3,3,3
154,8,8,8
157,8,8,8
163,5,4,5
166,1,2,1
168,8,8,8
170,6,5,5
173,8,8,8
180,6,5,6
182,8,8,8
184,5,5,5
185,8,7,8
195,7,7,7
196,6,6,6
197,5,5,5
212,5,5,5
213,8,8,8
219,8,8,8
225,3,2,3
227,4,4,4
232,4,4,4
239,5,5,5
247,5,5,5
251,4,4,4
254,5,4,4
261,6,6,6
264,6,6,6
267,8,8,8
272,7,7,7
275,8,8,8
277,3,2,3
283,7,6,7
284,1,2,1
287,6,6,6
291,8,8,8
293,5,5,5
294,3,2,3
305,7,6,7
307,4,4,5
309,8,8,8
311,4,4,4
322,2,2,2
323,2,3,2
326,5,5,5
330,1,1,1
335,8,8,8
337,7,7,7
338,4,4,4
341,1,1,1
346,6,5,6
348,5,5,5
352,2,3,2
356,8,8,8
358,2,2,2
366,6,5,6
369,3,3,3
373,5,5,5
375,2,3,2
381,5,5,5
384,8,8,8
386,5,5,5
396,7,6,7
397,2,1,2
399,7,6,7
405,8,8,8
412,7,8,7
417,2,2,2
421,4,4,4
425,8,7,8
427,8,8,8
430,5,4,5
432,5,5,5
433,7,8,7
436,8,8,8
438,7,7,7
441,8,8,8
442,6,5,6
444,5,4,5
446,8,7,8
448,8,7,7
450,6,6,6
454,7,7,7
465,8,8,8
470,4,4,4
472,3,3,3
475,8,8,8
484,8,8,8
495,8,8,8
497,8,8,8
498,8,8,8
501,4,4,4
502,5,5,5
505,8,7,8
515,2,2,3
516,6,5,6
527,8,8,8
529,2,2,2
531,8,8,8
533,6,6,6
537,1,1,1
541,8,8,7
546,8,8,8
548,5,5,5
549,8,8,8
550,7,6,7
553,8,7,8
559,7,6,7
561,3,2,3
564,1,1,1
574,5,5,5
578,7,7,7
579,6,6,6
580,8,8,8
582,5,4,5
584,8,8,8
588,6,6,6
596,5,4,5
602,4,3,4
603,3,3,3
613,6,6,6
614,1,1,1
619,8,8,8
620,7,7,7
624,5,5,5
625,8,7,8
628,5,4,6
630,6,5,6
635,7,7,7
636,3,4,4
637,8,8,8
641,8,8,8
644,8,8,8
648,8,8,8
654,8,7,8
658,4,5,4
664,8,8,8
666,6,6,6
667,7,7,8
670,8,8,8
672,6,6,6
674,8,8,8
676,7,7,7
684,8,8,8
685,4,4,4
693,1,1,1
694,7,7,7
700,2,2,2
702,6,6,6
703,6,5,6
705,5,5,6
711,8,7,8
718,1,1,2
722,7,7,7
726,5,4,5
727,4,4,4
732,8,8,8
735,8,8,8
740,3,3,3
748,6,6,6
750,6,6,6
751,8,8,8
756,7,7,7
762,6,6,6
766,8,8,8
770,7,6,7
771,2,2,3
779,6,6,6
782,3,2,3
784,8,8,8
793,6,5,6
798,5,5,5
800,6,5,6
801,7,7,7
805,7,6,7
807,4,3,3
813,8,8,8
819,8,8,8
820,6,6,6
822,8,8,8
823,7,6,7
833,8,8,8
834,5,5,5
842,2,2,2
845,7,7,7
856,4,4,4
860,5,5,5
864,2,2,2
869,7,7,7
872,7,7,7
877,5,4,5
878,7,6,7
893,6,6,6
894,8,8,8
896,6,6,5
899,4,5,5
900,7,6,7
911,1,1,1
914,7,7,7
917,1,1,1
919,7,7,7
923,1,1,1
925,6,6,6
926,2,2,2
934,6,6,6
938,7,7,7
940,5,5,5
955,6,6,6
956,6,6,6
971,6,6,6
973,8,8,8
978,8,7,8
979,8,8,8
981,7,7,7
988,7,6,7
990,8,7,8
992,4,3,4
996,8,8,8
997,4,4,4
999,5,4,4
1000,8,8,8
1006,6,6,6
1009,2,1,2
1018,6,5,6
1025,4,4,4
1038,7,8,7
1042,6,6,6
1045,5,5,6
1046,8,8,8
1047,5,5,4
1050,5,5,5
1052,7,7,7
1054,8,8,8
1057,7,7,7
1061,2,1,2
1069,5,5,5
1071,6,6,6
1073,6,6,6
1074,8,8,8
1075,5,5,5
1083,5,5,5
1084,1,1,1
1089,5,4,5
1099,5,5,5
1103,4,4,4
1110,8,8,8
1123,7,7,7
1130,7,6,6
1135,6,6,6
1137,8,8,8
1145,8,8,8
1147,4,3,4
1152,8,8,8
1153,1,1,1
1154,8,7,8
1158,8,8,8
1166,6,6,6
1170,7,7,7
1172,7,7,7
1178,5,5,5
1179,8,8,8
1181,1,2,1
1182,7,7,7
1183,8,8,8
1191,7,6,6
1192,1,1,1
1200,2,2,2
1205,6,6,6
1207,6,6,6
1208,1,1,2
1209,3,3,3
1217,4,2,4
1223,7,7,8
1225,8,8,8
1226,3,2,3
1228,3,3,3
1230,5,5,5
1232,8,7,8
1235,8,8,8
1237,6,5,6
1257,6,6,7
1266,1,1,1
1267,6,6,6
1274,7,7,7
1277,8,8,8
1278,6,5,6
1280,8,8,8
1282,8,7,8
1293,6,6,6
1294,2,2,2
1305,8,8,8
1306,7,7,7
1311,7,7,7
1318,5,5,5
1320,8,7,8
1323,8,7,8
1325,2,3,2
1328,5,4,5
1336,4,4,4
1340,7,7,7
1341,8,8,8
1344,6,6,6
1345,6,6,6
1348,2,2,2
1358,1,1,1
1361,8,8,8
1364,5,4,5
1373,8,8,8
1377,5,5,5
1378,7,7,7
1380,7,6,7
1382,6,6,6
1383,5,4,5
1386,8,8,8
1387,1,1,1
1390,3,3,3
1395,8,8,8
1398,6,5,6
1402,3,2,3
1403,8,8,8
1405,8,8,8
1407,7,7,7
1410,1,1,1
1412,2,2,2
1419,4,4,5
1426,6,6,6
1428,8,8,8
1436,7,7,7
1437,2,3,2
1438,5,4,5
1441,8,7,8
1444,3,2,3
1448,2,2,2
1454,5,4,5
1457,6,5,6
1459,8,8,8
1463,7,7,7
1467,1,1,2
1471,6,6,6
1475,6,6,6
1476,5,4,5
1480,7,7,7
1481,1,1,1
1482,4,4,4
1489,5,3,4
1491,7,7,7
1494,8,7,8
1496,8,8,8
1500,8,8,8
1501,8,8,8
1503,7,6,7
1504,2,2,2
1505,2,2,2
1515,3,2,3
1517,6,5,6
1520,5,4,5
1521,3,3,3
1523,8,8,8
1526,7,7,7
1529,6,5,6
1530,7,5,7
1543,5,5,5
1544,8,8,8
1547,6,6,6
1550,8,8,8
1552,6,6,6
1554,6,6,6
1563,7,6,7
1574,6,7,6
1575,3,2,2
1576,5,4,5
1579,5,4,5
1582,2,2,3
1584,8,7,8
1585,8,7,8
1589,5,5,5
1596,6,6,6
1598,2,2,1
1611,7,6,7
1613,3,2,3
1615,6,6,6
1618,4,3,4
1627,7,6,7
1630,2,2,2
1638,8,7,8
1639,6,6,6
1640,8,8,8
1642,6,5,6
1645,6,6,6
1648,6,6,6
1654,4,3,4
1661,7,7,7
1662,7,7,7
1663,8,8,8
1666,5,3,5
1668,1,1,2
1670,1,1,1
1672,7,7,7
1681,6,5,6
1682,6,6,6
1683,1,1,1
1687,8,8,8
1688,8,7,8
1693,7,6,7
1694,6,6,6
1700,8,8,8
1704,6,6,6
1712,8,8,8
1716,8,8,8
1717,7,6,7
1722,5,4,4
1724,4,4,4
1738,1,1,1
1739,1,1,1
1740,8,8,8
1761,8,8,8
1763,8,8,8
1765,7,7,7
1766,7,7,7
1767,8,7,8
1771,5,4,6
1772,7,6,7
1777,7,7,8
1784,3,2,3
1799,5,5,6
1806,7,6,7
1810,1,2,1
1812,5,4,4
1814,2,1,1
1818,7,6,7
1819,8,8,8
1822,4,4,4
1823,8,8,8
1824,2,1,2
1834,5,5,5
1835,7,6,7
1844,5,4,5
1848,6,6,6
1849,8,8,8
1850,6,5,6
1851,3,3,3
1856,2,3,2
1862,1,1,1
1863,6,6,6
1872,5,4,6
1874,3,2,3
1875,8,8,8
1877,8,8,8
1900,6,6,7
1902,6,5,6
1904,5,5,5
1905,2,2,2
1908,8,8,8
1914,8,8,8
1916,1,1,1
1922,3,2,2
1933,6,6,6
1934,5,5,5
1939,6,6,6
1942,5,5,5
1947,8,8,8
1957,7,7,7
1971,8,8,8
1973,3,2,3
1974,6,5,6
1977,7,7,7
1981,6,6,6
1985,8,8,8
1987,6,6,6
1989,7,7,7
2001,3,2,3
2002,2,1,1
2007,1,1,1
2008,8,8,8
2011,5,4,5
2021,7,7,7
2034,7,7,7
2040,8,8,8
2044,3,4,3
2045,8,8,8
2048,7,8,7
2051,8,7,8
2062,8,7,8
2066,1,1,1
2068,5,5,5
2069,2,2,2
2074,8,8,8
2075,7,7,7
2078,7,6,7
2079,1,1,1
2080,1,1,1
2081,4,3,4
2084,1,1,1
2085,7,7,7
2087,7,6,7
2096,5,5,5
2102,6,6,6
2103,5,5,6
2107,8,8,8
2117,6,5,6
2118,2,1,2
2120,6,6,6
2121,3,2,3
2122,3,3,4
2130,7,7,7
2136,3,2,3
2138,8,8,8
2140,8,8,8
2143,7,7,7
2144,5,4,5
2145,5,4,5
2147,7,7,7
2150,1,2,1
2154,8,8,8
2155,1,1,1
2166,4,3,4
2169,2,3,3
2173,5,5,5
2176,1,1,1
2178,7,7,7
2179,4,3,4
2180,8,8,8
2184,8,8,8
2185,8,8,8
2188,5,5,5
2190,7,7,7
2194,7,7,7
2195,7,7,7
2198,5,5,5
2205,8,8,8
2206,7,7,7
2207,2,2,2
2212,6,6,6
2213,7,6,7
2216,8,8,8
2218,1,1,1
2224,8,8,8
2225,7,7,7
2228,8,8,8
2236,6,6,6
2242,8,8,8
2246,5,5,5
2250,8,8,8
2255,6,6,6
2256,1,1,1
2267,4,5,5
2268,7,7,7
2269,5,5,5
2272,5,5,5
2275,1,1,1
2280,8,8,8
2282,8,8,8
2287,7,7,7
2289,8,8,8
2293,8,8,8
2296,7,7,7
2307,6,5,6
2309,6,6,6
2313,5,5,5
2325,5,5,5
2327,8,7,8
2336,3,2,3
2339,6,6,6
2342,7,7,7
2347,8,8,8
2350,3,4,4
2360,6,6,6
2364,7,7,7
2369,1,1,1
2379,3,3,3
2394,6,6,6
2395,4,3,4
2399,8,8,8
2402,8,8,8
2410,8,8,8
2416,7,7,7
2420,8,8,8
2427,5,6,5
2434,8,8,8
2435,7,7,7
2441,7,8,8
2447,5,5,5
2452,6,6,6
2463,6,6,7
2467,5,5,6
2468,8,8,8
2470,6,6,6
2476,6,6,6
2483,1,1,1
2487,5,5,5
2492,8,8,8
2502,8,7,8
2504,4,3,4
2510,8,8,8
2511,1,1,1
2512,8,8,8
2517,8,8,8
2520,8,8,8
2521,8,8,8
2523,7,7,7
2524,6,5,6
2525,6,6,6
2526,4,5,4
2528,8,8,8
2530,3,3,3
2532,3,3,3
2536,4,4,4
2540,6,6,6
2541,6,6,5
2543,6,6,6
2549,7,8,8
2550,1,1,1
2556,3,3,3
2557,7,7,7
2559,6,7,7
2565,8,8,8
2566,8,8,8
2567,1,1,1
2568,4,4,4
2570,8,8,8
2573,8,8,8
2577,6,6,6
2578,6,7,7
2583,1,2,1
2586,5,4,5
2587,3,3,3
2588,8,7,8
2591,8,8,8
2597,8,8,8
2606,7,7,7
2607,8,8,8
2608,8,8,8
2611,1,1,1
2612,7,7,7
2613,8,8,8
2616,8,8,8
2621,8,8,8
2622,6,6,6
2634,8,8,8
2639,8,8,8
2642,1,1,1
2644,6,6,6
2650,1,1,1
2655,8,8,8
2664,7,7,7
2667,6,6,6
2670,5,5,5
2679,1,2,1
2681,6,7,7
2683,7,8,8
2685,8,8,8
2687,8,8,8
2696,4,4,5
2699,7,6,7
2712,1,1,1
2716,8,8,8
2720,8,8,8
2725,6,6,6
2726,8,8,8
2731,6,6,6
2733,8,8,8
2740,8,8,8
2742,6,7,6
2748,4,4,4
2749,8,8,8
2763,7,8,7
2771,8,8,8
2772,5,4,5
2773,6,6,6
2783,8,8,8
2784,8,8,8
2789,1,1,1
2796,4,3,5
2798,5,5,5
2799,8,8,8
2800,6,5,6
2802,8,8,8
2805,6,5,5
2809,6,6,6
2816,7,8,7
2817,6,6,6
2821,8,7,7
2822,8,8,8
2829,7,6,7
2832,4,3,4
2842,6,5,6
2844,6,7,6
2846,6,6,6
2851,6,6,6
2852,5,5,5
2853,8,7,8
2856,7,7,7
2862,2,2,2
2866,6,7,6
2868,5,5,5
2886,8,8,8
2892,6,5,6
2893,3,3,3
2898,8,8,8
2917,3,2,3
2923,1,2,1
2927,6,6,6
2930,8,8,8
2931,1,1,1
2935,8,7,8
2936,4,4,4
2961,2,2,1
2964,8,8,8
2967,8,7,8
2968,7,7,7
2970,7,6,7
2977,4,4,4
2978,8,8,8
2979,8,8,8
2985,4,5,4
2986,1,1,1
2989,6,6,6
2997,3,3,3
2999,8,8,8
3004,7,8,7
3008,7,7,7
3010,5,4,4
3020,8,8,8
3022,8,8,8
3024,7,7,7
3027,8,8,8
3032,8,8,8
3033,8,8,8
3048,3,2,3
3053,6,6,6
3056,8,8,8
3070,8,8,8
3071,1,1,1
3073,7,8,8
3080,7,7,7
3098,8,8,8
3099,3,4,4
3109,7,7,7
3110,7,7,7
3115,1,1,1
3121,8,8,8
3128,7,7,7
3132,1,1,1
3133,1,1,1
3141,8,8,8
3144,5,5,5
3145,4,4,4
3154,6,6,6
3159,7,8,7
3164,2,3,2
3168,1,1,1
3172,2,2,2
3176,6,6,6
3186,6,7,6
3193,4,5,4
3196,7,8,7
3199,3,3,3
3200,6,6,6
3209,8,8,8
3210,8,8,8
3214,6,6,6
3229,6,6,6
3230,6,6,6
3233,8,8,8
3242,3,3,2
3244,1,2,1
3249,6,6,6
3251,2,2,1
3253,1,1,1
3264,5,5,5
3271,3,2,3
3272,8,8,8
3274,7,6,7
3276,2,1,2
3280,4,4,4
3282,6,6,6
3285,7,8,7
3297,6,6,6
3298,7,8,7
3307,5,5,5
3309,8,8,7
3310,8,8,8
3312,5,5,5
3314,8,8,8
3315,3,3,4
3316,6,7,6
3319,5,5,5
3322,8,8,8
3327,7,6,7
3332,6,6,6
3334,8,8,8
3336,1,1,1
3338,7,7,7
3340,5,5,5
3343,2,1,2
3352,8,7,8
3353,7,8,7
3356,8,8,8
3357,8,8,8
3360,6,6,6
3365,8,8,8
3366,8,8,8
3367,8,8,8
3369,8,8,8
3374,4,4,4
3376,6,6,6
3381,8,8,8
3385,5,4,5
3386,6,6,6
3397,7,7,7
3403,4,4,4
3409,3,3,3
3414,8,8,8
3415,7,7,7
3423,7,8,8
3427,7,6,6
3428,8,8,8
3439,5,5,4
3441,8,8,7
3442,2,2,2
3447,5,6,5
3453,7,7,7
3456,2,2,2
3458,4,4,4
3459,6,6,6
3462,6,7,6
3464,8,8,8
3477,8,8,8
3480,5,6,5
3483,8,8,8
3490,6,6,6
3497,7,8,7
3498,7,7,7
3500,5,5,5
3504,6,5,6
3509,1,1,1
3510,8,8,8
3511,8,8,8
3525,4,4,4
3528,7,6,7
3529,1,1,1
3531,4,4,4
3532,8,8,8
3536,8,8,8
3537,2,2,2
3538,6,6,6
3547,3,3,3
3557,6,6,6
3572,8,8,8
3573,7,7,7
3588,8,8,8
3590,6,7,7
3597,7,7,7
3601,5,6,5
3602,7,7,7
3608,8,8,8
3611,6,6,6
3616,7,7,7
3619,7,7,7
3623,4,4,4
3638,5,5,5
3641,6,5,6
3643,8,8,8
3647,2,3,2
3648,7,7,7
3662,5,5,5
3663,8,8,8
3665,5,6,6
3679,7,7,7
3683,6,6,6
3692,6,6,6
3700,7,7,7
3705,5,5,5
3706,8,8,8
3711,8,8,8
3712,4,3,3
3716,3,3,4
3725,4,4,4
3727,8,8,8
3739,6,6,6
3740,5,5,5
3743,4,5,5
3744,1,1,1
3750,8,8,8
3751,5,6,5
3752,1,1,1
3753,5,4,5
3754,1,1,2
3761,8,8,8
3762,7,7,7
3764,3,2,3
3773,8,7,8
3774,4,4,4
3775,8,8,8
