Response_0,Id
4,1
6,3
7,4
7,9
7,12
7,13
7,21
7,28
4,30
7,36
8,38
7,43
2,45
8,48
6,50
7,51
6,54
8,55
8,59
4,62
8,63
8,66
8,69
8,82
6,83
6,84
8,86
8,89
4,90
7,92
6,98
1,100
4,105
8,115
2,119
1,124
8,127
7,133
4,140
8,141
1,143
4,151
8,154
8,157
4,163
1,166
8,168
6,170
7,173
6,180
8,182
4,184
7,185
8,195
6,196
6,197
6,212
7,213
8,219
4,225
4,227
4,232
6,239
6,247
4,251
6,254
6,261
6,264
8,267
7,272
8,275
2,277
7,283
2,284
7,287
8,291
6,293
2,294
7,305
6,307
7,309
4,311
2,322
2,323
6,326
1,330
8,335
7,337
4,338
1,341
6,346
4,348
4,352
8,356
2,358
6,366
4,369
6,373
4,375
6,381
8,384
6,386
7,396
2,397
7,399
8,405
7,412
2,417
6,421
7,425
8,427
4,430
6,432
8,433
8,436
7,438
8,441
6,442
4,444
7,446
7,448
6,450
7,454
8,465
4,470
4,472
8,475
8,484
8,495
8,497
8,498
4,501
6,502
8,505
2,515
6,516
8,527
2,529
7,531
6,533
1,537
7,541
8,546
6,548
8,549
7,550
7,553
7,559
2,561
1,564
6,574
7,578
6,579
8,580
6,582
8,584
6,588
4,596
4,602
2,603
7,613
1,614
7,619
7,620
4,624
7,625
4,628
6,630
7,635
4,636
8,637
8,641
8,644
8,648
7,654
6,658
8,664
7,666
7,667
8,670
6,672
8,674
7,676
8,684
4,685
1,693
7,694
1,700
6,702
6,703
6,705
8,711
1,718
7,722
4,726
4,727
8,732
8,735
4,740
7,748
7,750
8,751
7,756
6,762
8,766
7,770
2,771
6,779
2,782
8,784
6,793
4,798
6,800
7,801
7,805
6,807
8,813
8,819
7,820
8,822
7,823
8,833
6,834
2,842
7,845
4,856
4,860
2,864
7,869
7,872
4,877
7,878
7,893
8,894
6,896
6,899
7,900
1,911
7,914
1,917
7,919
1,923
6,925
4,926
7,934
7,938
6,940
6,955
7,956
6,971
8,973
7,978
8,979
7,981
7,988
8,990
4,992
8,996
4,997
4,999
7,1000
7,1006
2,1009
6,1018
6,1025
7,1038
7,1042
6,1045
8,1046
6,1047
6,1050
7,1052
8,1054
7,1057
1,1061
6,1069
6,1071
6,1073
8,1074
4,1075
6,1083
1,1084
4,1089
6,1099
4,1103
8,1110
7,1123
7,1130
7,1135
8,1137
8,1145
4,1147
8,1152
1,1153
8,1154
8,1158
7,1166
7,1170
7,1172
6,1178
8,1179
2,1181
7,1182
8,1183
6,1191
1,1192
2,1200
7,1205
6,1207
1,1208
4,1209
4,1217
8,1223
8,1225
2,1226
4,1228
6,1230
7,1232
8,1235
6,1237
7,1257
1,1266
6,1267
8,1274
8,1277
6,1278
8,1280
7,1282
6,1293
2,1294
8,1305
7,1306
7,1311
6,1318
8,1320
7,1323
4,1325
4,1328
4,1336
7,1340
8,1341
7,1344
7,1345
1,1348
1,1358
8,1361
4,1364
8,1373
6,1377
7,1378
7,1380
7,1382
6,1383
8,1386
1,1387
4,1390
8,1395
6,1398
2,1402
8,1403
8,1405
7,1407
1,1410
2,1412
6,1419
7,1426
8,1428
7,1436
4,1437
6,1438
8,1441
2,1444
2,1448
4,1454
6,1457
8,1459
7,1463
1,1467
6,1471
6,1475
4,1476
7,1480
1,1481
4,1482
4,1489
7,1491
8,1494
8,1496
8,1500
8,1501
7,1503
2,1504
2,1505
4,1515
6,1517
4,1520
4,1521
8,1523
7,1526
6,1529
7,1530
6,1543
8,1544
6,1547
8,1550
6,1552
6,1554
7,1563
7,1574
2,1575
6,1576
4,1579
2,1582
7,1584
7,1585
6,1589
7,1596
2,1598
6,1611
4,1613
7,1615
4,1618
7,1627
2,1630
8,1638
6,1639
8,1640
6,1642
6,1645
7,1648
4,1654
7,1661
7,1662
8,1663
4,1666
1,1668
1,1670
7,1672
6,1681
7,1682
2,1683
8,1687
8,1688
7,1693
7,1694
8,1700
6,1704
8,1712
8,1716
7,1717
4,1722
4,1724
1,1738
1,1739
8,1740
8,1761
8,1763
7,1765
7,1766
7,1767
6,1771
7,1772
8,1777
2,1784
4,1799
7,1806
1,1810
4,1812
2,1814
7,1818
8,1819
4,1822
8,1823
1,1824
6,1834
7,1835
6,1844
6,1848
8,1849
6,1850
2,1851
4,1856
1,1862
6,1863
6,1872
4,1874
8,1875
7,1877
7,1900
6,1902
6,1904
2,1905
8,1908
8,1914
1,1916
2,1922
6,1933
6,1934
7,1939
6,1942
8,1947
8,1957
8,1971
2,1973
6,1974
7,1977
6,1981
8,1985
7,1987
7,1989
2,2001
1,2002
1,2007
8,2008
6,2011
7,2021
7,2034
7,2040
4,2044
8,2045
8,2048
7,2051
7,2062
1,2066
6,2068
2,2069
8,2074
7,2075
7,2078
1,2079
1,2080
4,2081
1,2084
7,2085
7,2087
6,2096
6,2102
6,2103
8,2107
6,2117
2,2118
7,2120
2,2121
4,2122
7,2130
2,2136
8,2138
7,2140
7,2143
4,2144
4,2145
7,2147
2,2150
8,2154
1,2155
4,2166
2,2169
6,2173
1,2176
7,2178
4,2179
7,2180
8,2184
8,2185
6,2188
7,2190
7,2194
7,2195
6,2198
8,2205
7,2206
2,2207
6,2212
7,2213
8,2216
2,2218
8,2224
7,2225
8,2228
6,2236
8,2242
4,2246
8,2250
6,2255
1,2256
6,2267
7,2268
6,2269
6,2272
2,2275
8,2280
8,2282
7,2287
8,2289
8,2293
7,2296
7,2307
7,2309
6,2313
6,2325
7,2327
2,2336
7,2339
7,2342
8,2347
4,2350
6,2360
7,2364
1,2369
4,2379
7,2394
4,2395
8,2399
7,2402
8,2410
7,2416
8,2420
6,2427
8,2434
7,2435
8,2441
6,2447
6,2452
6,2463
6,2467
7,2468
6,2470
7,2476
1,2483
4,2487
8,2492
7,2502
4,2504
8,2510
1,2511
8,2512
7,2517
8,2520
8,2521
7,2523
6,2524
6,2525
4,2526
8,2528
4,2530
4,2532
4,2536
6,2540
7,2541
6,2543
7,2549
1,2550
4,2556
7,2557
7,2559
8,2565
8,2566
1,2567
4,2568
8,2570
8,2573
7,2577
6,2578
2,2583
6,2586
4,2587
7,2588
8,2591
8,2597
7,2606
8,2607
7,2608
1,2611
7,2612
8,2613
7,2616
7,2621
7,2622
8,2634
7,2639
1,2642
6,2644
1,2650
8,2655
7,2664
7,2667
4,2670
2,2679
7,2681
7,2683
8,2685
8,2687
4,2696
7,2699
2,2712
7,2716
7,2720
7,2725
8,2726
6,2731
8,2733
8,2740
7,2742
4,2748
8,2749
7,2763
8,2771
4,2772
6,2773
8,2783
8,2784
1,2789
4,2796
4,2798
7,2799
6,2800
8,2802
6,2805
7,2809
7,2816
6,2817
7,2821
8,2822
7,2829
4,2832
6,2842
7,2844
6,2846
6,2851
6,2852
8,2853
7,2856
2,2862
7,2866
4,2868
8,2886
6,2892
4,2893
8,2898
2,2917
2,2923
6,2927
8,2930
1,2931
7,2935
4,2936
2,2961
7,2964
7,2967
7,2968
7,2970
4,2977
8,2978
8,2979
6,2985
1,2986
7,2989
4,2997
8,2999
7,3004
7,3008
4,3010
8,3020
8,3022
7,3024
8,3027
8,3032
8,3033
2,3048
6,3053
8,3056
8,3070
1,3071
8,3073
7,3080
8,3098
4,3099
7,3109
7,3110
1,3115
8,3121
7,3128
1,3132
1,3133
8,3141
6,3144
4,3145
7,3154
8,3159
4,3164
1,3168
2,3172
7,3176
7,3186
6,3193
7,3196
4,3199
7,3200
8,3209
8,3210
6,3214
6,3229
7,3230
8,3233
2,3242
2,3244
6,3249
2,3251
1,3253
6,3264
2,3271
8,3272
7,3274
2,3276
4,3280
6,3282
7,3285
6,3297
7,3298
6,3307
7,3309
8,3310
6,3312
8,3314
2,3315
6,3316
6,3319
8,3322
7,3327
6,3332
8,3334
1,3336
7,3338
6,3340
1,3343
7,3352
7,3353
8,3356
8,3357
6,3360
8,3365
8,3366
8,3367
8,3369
4,3374
6,3376
8,3381
4,3385
7,3386
7,3397
4,3403
2,3409
8,3414
7,3415
8,3423
6,3427
7,3428
4,3439
8,3441
2,3442
6,3447
7,3453
2,3456
4,3458
6,3459
7,3462
8,3464
8,3477
6,3480
8,3483
6,3490
7,3497
7,3498
6,3500
6,3504
1,3509
7,3510
8,3511
4,3525
7,3528
1,3529
4,3531
8,3532
7,3536
2,3537
6,3538
4,3547
6,3557
8,3572
7,3573
8,3588
7,3590
7,3597
6,3601
7,3602
8,3608
6,3611
7,3616
7,3619
4,3623
6,3638
6,3641
8,3643
2,3647
7,3648
4,3662
8,3663
6,3665
7,3679
6,3683
6,3692
7,3700
6,3705
8,3706
8,3711
4,3712
2,3716
4,3725
8,3727
7,3739
4,3740
4,3743
1,3744
8,3750
6,3751
1,3752
4,3753
1,3754
8,3761
7,3762
2,3764
7,3773
4,3774
8,3775
8,3776
6,3785
8,3788
6,3791
7,3792
2,3794
7,3797
8,3798
2,3807
7,3808
4,3810
7,3813
8,3815
6,3818
2,3820
8,3824
8,3832
8,3836
6,3837
7,3849
6,3853
4,3861
6,3862
6,3863
4,3867
7,3868
8,3871
6,3873
7,3874
7,3879
7,3881
7,3883
6,3887
6,3888
4,3889
2,3898
7,3901
2,3904
4,3905
6,3907
2,3911
7,3915
4,3917
7,3923
2,3925
7,3931
8,3934
7,3943
6,3946
6,3947
6,3949
4,3958
7,3959
4,3960
7,3969
8,3971
8,3973
8,3976
7,3979
8,3982
8,3992
6,3993
7,3995
4,3997
8,4002
8,4003
8,4006
8,4010
7,4011
8,4012
8,4019
1,4020
6,4026
2,4030
4,4033
8,4034
2,4038
7,4045
7,4046
1,4047
8,4048
7,4055
7,4061
1,4063
7,4066
8,4069
7,4076
7,4081
8,4086
8,4087
8,4094
2,4096
6,4105
6,4107
4,4110
7,4115
1,4128
8,4131
1,4136
4,4140
6,4141
8,4142
7,4146
6,4156
8,4159
7,4171
1,4174
4,4175
8,4180
7,4187
2,4191
7,4193
8,4197
6,4201
6,4203
6,4205
2,4206
7,4209
8,4213
6,4215
8,4220
8,4223
