Response,id
2,1
6,3
7,4
6,9
7,12
8,13
7,21
8,28
4,30
8,36
8,38
6,43
2,45
8,48
6,50
8,51
6,54
8,55
8,59
2,62
8,63
8,66
8,69
8,82
6,83
5,84
8,86
8,89
3,90
7,92
5,98
1,100
4,105
8,115
1,119
1,124
8,127
7,133
5,140
8,141
1,143
4,151
8,154
8,157
4,163
1,166
8,168
6,170
8,173
6,180
8,182
5,184
7,185
7,195
6,196
4,197
5,212
8,213
8,219
3,225
4,227
4,232
4,239
5,247
4,251
4,254
7,261
7,264
8,267
7,272
8,275
2,277
8,283
2,284
6,287
8,291
5,293
2,294
7,305
3,307
8,309
4,311
2,322
2,323
6,326
1,330
8,335
8,337
4,338
1,341
6,346
5,348
2,352
8,356
1,358
6,366
3,369
5,373
3,375
5,381
8,384
5,386
6,396
2,397
7,399
8,405
7,412
2,417
5,421
7,425
8,427
4,430
4,432
8,433
8,436
7,438
8,441
6,442
4,444
8,446
8,448
5,450
7,454
8,465
6,470
4,472
8,475
8,484
8,495
8,497
8,498
3,501
4,502
8,505
3,515
5,516
8,527
2,529
8,531
6,533
1,537
8,541
8,546
5,548
8,549
6,550
7,553
7,559
2,561
1,564
5,574
7,578
6,579
8,580
4,582
8,584
6,588
4,596
3,602
3,603
6,613
1,614
8,619
7,620
5,624
8,625
4,628
6,630
7,635
5,636
8,637
8,641
8,644
8,648
7,654
5,658
8,664
7,666
8,667
8,670
6,672
8,674
7,676
8,684
4,685
1,693
7,694
1,700
6,702
6,703
4,705
8,711
1,718
8,722
4,726
3,727
8,732
8,735
4,740
6,748
6,750
8,751
7,756
5,762
8,766
6,770
3,771
6,779
2,782
8,784
5,793
3,798
6,800
7,801
6,805
3,807
8,813
8,819
6,820
8,822
6,823
8,833
4,834
2,842
6,845
4,856
5,860
2,864
8,869
7,872
3,877
7,878
7,893
7,894
5,896
6,899
6,900
1,911
7,914
1,917
7,919
1,923
5,925
3,926
6,934
8,938
6,940
6,955
6,956
6,971
8,973
8,978
8,979
8,981
6,988
8,990
3,992
8,996
4,997
4,999
8,1000
7,1006
2,1009
6,1018
4,1025
7,1038
7,1042
5,1045
8,1046
5,1047
5,1050
7,1052
8,1054
7,1057
1,1061
5,1069
5,1071
6,1073
8,1074
6,1075
5,1083
1,1084
5,1089
4,1099
5,1103
8,1110
7,1123
7,1130
6,1135
8,1137
8,1145
4,1147
8,1152
1,1153
8,1154
8,1158
6,1166
8,1170
7,1172
4,1178
8,1179
1,1181
8,1182
8,1183
6,1191
1,1192
2,1200
6,1205
6,1207
1,1208
3,1209
4,1217
8,1223
8,1225
2,1226
4,1228
5,1230
8,1232
8,1235
5,1237
7,1257
1,1266
6,1267
7,1274
8,1277
5,1278
8,1280
7,1282
6,1293
2,1294
8,1305
7,1306
7,1311
5,1318
8,1320
8,1323
3,1325
4,1328
4,1336
7,1340
8,1341
6,1344
7,1345
1,1348
1,1358
8,1361
4,1364
8,1373
4,1377
7,1378
6,1380
5,1382
5,1383
8,1386
1,1387
2,1390
8,1395
6,1398
2,1402
8,1403
8,1405
7,1407
1,1410
1,1412
4,1419
5,1426
8,1428
7,1436
2,1437
4,1438
8,1441
2,1444
3,1448
4,1454
5,1457
8,1459
7,1463
1,1467
6,1471
6,1475
4,1476
7,1480
2,1481
4,1482
3,1489
7,1491
8,1494
8,1496
8,1500
8,1501
7,1503
3,1504
2,1505
3,1515
5,1517
5,1520
3,1521
8,1523
7,1526
5,1529
6,1530
5,1543
8,1544
6,1547
8,1550
7,1552
6,1554
6,1563
6,1574
3,1575
4,1576
4,1579
3,1582
8,1584
6,1585
5,1589
6,1596
2,1598
4,1611
3,1613
6,1615
4,1618
6,1627
2,1630
7,1638
6,1639
8,1640
5,1642
6,1645
7,1648
3,1654
7,1661
7,1662
8,1663
5,1666
1,1668
1,1670
7,1672
6,1681
6,1682
1,1683
8,1687
7,1688
7,1693
6,1694
8,1700
6,1704
8,1712
8,1716
7,1717
5,1722
4,1724
1,1738
1,1739
8,1740
8,1761
8,1763
7,1765
7,1766
8,1767
4,1771
6,1772
7,1777
2,1784
5,1799
6,1806
2,1810
4,1812
2,1814
6,1818
8,1819
4,1822
8,1823
2,1824
5,1834
7,1835
4,1844
6,1848
8,1849
5,1850
3,1851
2,1856
1,1862
6,1863
4,1872
2,1874
8,1875
8,1877
7,1900
5,1902
5,1904
3,1905
8,1908
8,1914
1,1916
2,1922
7,1933
5,1934
6,1939
6,1942
8,1947
7,1957
8,1971
2,1973
6,1974
8,1977
6,1981
8,1985
6,1987
7,1989
2,2001
2,2002
1,2007
8,2008
4,2011
7,2021
7,2034
8,2040
4,2044
8,2045
8,2048
8,2051
8,2062
1,2066
3,2068
2,2069
8,2074
7,2075
7,2078
1,2079
1,2080
3,2081
1,2084
7,2085
7,2087
5,2096
6,2102
5,2103
8,2107
5,2117
1,2118
7,2120
2,2121
2,2122
7,2130
2,2136
8,2138
8,2140
7,2143
4,2144
4,2145
7,2147
1,2150
8,2154
1,2155
4,2166
2,2169
6,2173
1,2176
7,2178
4,2179
8,2180
8,2184
8,2185
5,2188
7,2190
6,2194
8,2195
5,2198
8,2205
7,2206
2,2207
6,2212
6,2213
8,2216
1,2218
8,2224
7,2225
8,2228
5,2236
8,2242
5,2246
8,2250
6,2255
1,2256
4,2267
7,2268
5,2269
5,2272
1,2275
