,pred,raw
24148,7,8
3881,5,6
31778,7,8
36442,8,6
2349,8,8
19974,8,8
31110,1,1
24048,8,8
40667,6,1
9034,7,6
36212,7,6
19526,8,1
19902,8,8
48626,5,5
56420,8,8
54828,1,2
31866,8,7
58641,8,8
40755,8,8
8439,3,4
35432,8,1
6813,8,8
216,2,2
51428,3,5
45734,1,6
51107,8,8
59203,6,1
44088,8,8
12485,1,5
24912,1,2
44427,4,4
51319,8,8
53415,1,1
37807,8,8
24321,8,8
16843,8,8
41138,8,8
54717,6,7
57809,8,6
32568,5,2
34686,5,5
50142,8,8
51039,8,8
25973,2,6
4216,7,8
15294,8,8
54088,8,7
12746,8,1
47755,7,8
23720,4,7
39444,7,6
20152,4,5
4672,6,2
46808,1,5
19880,6,8
33491,6,6
46590,8,8
10290,8,8
59322,1,1
27757,7,7
51290,7,7
10719,6,6
6782,8,7
55374,7,7
21560,1,2
8434,8,8
43636,7,7
41777,8,8
5590,1,2
3942,8,8
18167,8,8
24549,4,6
23863,4,5
28916,7,7
10452,2,3
27402,8,6
45941,3,2
6289,2,4
10521,6,6
32841,6,8
16483,4,1
7518,6,7
56158,8,8
30682,6,7
11732,5,2
17768,6,2
53761,3,1
25653,6,8
6488,8,7
22332,1,1
29948,6,7
47106,8,7
45419,1,2
56476,2,2
55155,2,6
50707,8,8
13215,5,2
18315,8,8
38206,6,6
588,8,6
30278,8,2
43467,5,1
55887,8,8
44332,8,6
24260,1,3
37405,7,2
37795,4,6
16769,6,1
292,6,8
1765,8,8
24221,7,8
49213,8,8
33194,8,8
37545,7,8
17902,1,1
4964,3,2
39793,6,2
55139,8,8
21339,5,1
1914,8,2
27275,8,8
43502,3,1
6860,1,3
2084,4,5
25057,1,4
33794,3,2
14385,6,6
39601,8,6
57004,4,6
40896,5,5
46188,6,6
37217,8,8
30530,5,1
9447,8,7
57772,4,6
55267,4,6
18804,8,8
32453,4,6
10823,8,8
25884,4,6
4182,5,2
5413,8,8
37128,7,7
10129,3,4
14780,6,6
10388,8,8
56001,7,8
21109,8,1
52321,6,6
10627,5,7
8682,5,4
33128,1,1
56862,4,6
38072,8,8
18764,1,2
18994,7,8
4326,1,1
57617,8,8
18784,6,1
31328,7,6
28387,8,8
58278,8,8
46121,1,2
13223,1,4
51877,8,8
31024,8,8
46487,3,1
5898,1,1
19804,7,8
2675,6,6
47187,8,8
16459,8,8
8628,7,6
58730,2,1
1821,7,6
40821,3,5
54117,8,5
48490,6,7
59364,5,1
58749,8,7
17655,8,8
56721,8,8
8060,3,6
45438,5,6
1417,8,8
54335,2,2
38196,7,8
32207,5,2
14377,8,8
3132,7,8
24014,3,8
28019,7,8
39749,8,8
1129,3,5
26339,8,8
25487,6,8
10155,5,5
45833,8,7
58952,8,8
39973,3,1
12584,7,7
45641,8,8
37015,4,7
19860,8,7
15104,6,6
34932,8,8
46381,8,8
23690,5,7
5266,1,2
27172,8,8
5356,1,6
2714,2,3
15248,8,8
33165,7,6
59180,7,6
57096,2,1
53293,1,1
28705,8,8
22564,6,6
38521,7,2
25603,8,8
11410,2,4
1514,7,8
48258,5,1
25672,1,5
51792,7,6
30533,5,6
20502,8,6
50118,6,2
40350,7,6
19983,3,2
54519,7,2
53299,8,8
18207,2,2
28150,8,8
58910,2,4
15361,8,8
45898,6,6
36203,4,5
28481,8,8
44950,7,8
58425,4,1
42015,8,7
48802,8,8
7066,8,8
49883,3,2
15153,8,8
30473,4,2
5024,8,7
12429,4,1
16214,6,7
13451,1,1
33941,7,7
41618,8,8
38270,7,8
6472,2,6
3440,8,8
15650,6,6
30552,3,2
36238,6,8
17824,3,5
50605,5,2
32654,7,6
50587,7,7
15711,3,6
12953,7,6
43473,5,1
53109,6,1
18817,7,8
35553,8,7
53624,5,6
9053,8,8
56189,8,5
39411,6,5
15386,3,6
36216,8,6
3874,6,7
6214,8,8
12784,8,8
4718,6,5
28161,4,6
56195,5,6
27197,5,6
26724,4,5
25969,6,6
37715,6,6
41360,8,8
57927,6,1
37963,5,1
48804,1,1
38890,6,6
5095,6,8
1247,4,6
35067,8,8
46693,7,1
37994,4,1
30137,3,2
21072,1,2
17207,5,6
14886,8,8
2074,2,5
22175,5,1
58830,6,2
21757,8,7
5976,7,8
27392,8,1
32276,2,2
23087,6,6
11925,6,7
30801,7,8
19838,6,1
48050,7,8
44262,6,7
26801,8,8
56755,5,6
51616,4,5
56076,4,5
40179,1,1
51316,1,1
16462,2,4
44695,8,7
25394,6,8
25020,4,6
21471,5,5
37779,4,1
46928,1,3
23266,7,8
37589,5,5
7881,1,6
22057,2,6
1180,8,8
40805,8,8
40505,7,7
15388,8,6
51189,6,6
45931,3,5
12408,8,8
33399,8,8
42296,3,1
34793,6,5
19799,8,1
7106,4,5
9054,4,1
10790,3,3
49930,6,5
47574,8,8
16761,8,8
35412,4,7
40832,5,4
27357,8,8
4382,4,1
25088,7,8
19199,8,7
16870,8,7
36373,8,8
19493,8,8
36575,7,8
44600,4,7
19914,1,2
4064,5,5
24164,8,8
16765,6,7
44127,4,2
33328,8,8
26625,7,8
48344,2,2
24458,6,6
12656,2,2
46219,2,7
52550,6,6
34476,8,8
38279,3,2
24058,5,6
39152,1,2
49264,8,8
41495,2,3
57219,1,2
6181,6,5
26831,8,8
51964,8,7
30802,4,5
18106,5,5
12328,7,7
27326,8,5
52633,7,8
33994,3,6
4655,8,8
42353,6,7
23977,8,8
32742,8,8
46782,4,5
45587,5,6
11665,7,7
38096,2,2
40797,2,4
5469,8,8
20749,5,8
4365,7,2
49134,6,2
7769,7,2
53860,7,7
20652,6,6
4665,8,8
52674,7,8
13480,8,2
30042,8,8
42648,8,7
46706,8,7
11509,5,6
7654,7,8
44449,8,8
38794,7,7
47126,1,1
29283,8,8
36810,6,1
44029,5,7
53526,8,8
39649,8,8
48282,8,7
24329,1,6
51536,1,2
52449,1,2
29254,6,6
39362,8,6
1399,1,2
32502,8,8
11275,6,8
22531,1,2
19859,1,2
5326,8,6
47065,6,2
38989,5,5
21595,6,6
58286,8,8
17811,8,7
3675,2,2
48292,8,8
47480,6,2
56980,7,8
12105,8,6
11565,8,8
40035,7,8
11740,8,8
48492,8,8
35940,8,8
50326,8,8
59073,1,3
12346,4,6
59220,8,7
48625,2,3
38146,1,2
46210,8,8
