Response,id
2,1
6,3
7,4
6,9
6,12
7,13
7,21
8,28
4,30
7,36
8,38
6,43
3,45
8,48
6,50
8,51
5,54
8,55
8,59
3,62
8,63
8,66
8,69
8,82
6,83
5,84
8,86
8,89
2,90
6,92
6,98
1,100
4,105
8,115
1,119
1,124
8,127
7,133
5,140
8,141
1,143
3,151
8,154
8,157
3,163
1,166
8,168
6,170
8,173
5,180
8,182
4,184
7,185
7,195
6,196
5,197
5,212
8,213
8,219
2,225
4,227
4,232
5,239
5,247
4,251
4,254
6,261
6,264
7,267
8,272
8,275
3,277
7,283
2,284
6,287
8,291
5,293
3,294
6,305
3,307
8,309
4,311
2,322
3,323
5,326
1,330
7,335
8,337
3,338
1,341
5,346
4,348
2,352
8,356
1,358
5,366
4,369
4,373
3,375
5,381
8,384
5,386
7,396
1,397
7,399
8,405
8,412
2,417
4,421
7,425
8,427
3,430
5,432
7,433
8,436
7,438
8,441
5,442
4,444
8,446
7,448
6,450
7,454
8,465
5,470
3,472
8,475
8,484
8,495
8,497
8,498
4,501
5,502
8,505
4,515
5,516
8,527
3,529
7,531
5,533
1,537
7,541
8,546
5,548
8,549
6,550
7,553
7,559
2,561
1,564
5,574
7,578
6,579
8,580
4,582
8,584
6,588
5,596
4,602
3,603
6,613
1,614
8,619
6,620
5,624
7,625
4,628
5,630
7,635
5,636
8,637
8,641
8,644
8,648
7,654
4,658
8,664
7,666
8,667
8,670
6,672
8,674
7,676
8,684
4,685
1,693
7,694
1,700
7,702
6,703
5,705
7,711
1,718
8,722
4,726
3,727
8,732
8,735
2,740
6,748
6,750
8,751
7,756
6,762
8,766
7,770
3,771
6,779
3,782
8,784
6,793
4,798
6,800
7,801
6,805
3,807
8,813
8,819
6,820
8,822
6,823
8,833
4,834
2,842
7,845
4,856
4,860
3,864
7,869
7,872
4,877
7,878
6,893
7,894
6,896
5,899
6,900
1,911
6,914
1,917
7,919
1,923
5,925
3,926
6,934
8,938
5,940
5,955
6,956
7,971
8,973
7,978
8,979
8,981
6,988
8,990
4,992
8,996
4,997
3,999
8,1000
7,1006
2,1009
6,1018
4,1025
7,1038
7,1042
4,1045
8,1046
5,1047
5,1050
7,1052
8,1054
7,1057
1,1061
5,1069
6,1071
6,1073
8,1074
4,1075
6,1083
1,1084
4,1089
4,1099
4,1103
8,1110
6,1123
7,1130
6,1135
8,1137
8,1145
3,1147
8,1152
1,1153
8,1154
8,1158
6,1166
7,1170
6,1172
4,1178
8,1179
2,1181
7,1182
8,1183
6,1191
1,1192
2,1200
6,1205
6,1207
1,1208
3,1209
3,1217
8,1223
8,1225
3,1226
3,1228
6,1230
8,1232
8,1235
6,1237
7,1257
1,1266
5,1267
8,1274
8,1277
5,1278
8,1280
7,1282
6,1293
2,1294
8,1305
7,1306
7,1311
5,1318
7,1320
7,1323
3,1325
4,1328
4,1336
7,1340
8,1341
6,1344
6,1345
1,1348
1,1358
8,1361
4,1364
8,1373
4,1377
7,1378
6,1380
7,1382
4,1383
8,1386
1,1387
2,1390
8,1395
5,1398
2,1402
8,1403
8,1405
6,1407
1,1410
1,1412
5,1419
6,1426
8,1428
7,1436
3,1437
5,1438
8,1441
2,1444
3,1448
4,1454
5,1457
8,1459
7,1463
1,1467
6,1471
6,1475
4,1476
7,1480
1,1481
4,1482
4,1489
7,1491
8,1494
8,1496
8,1500
8,1501
6,1503
2,1504
3,1505
3,1515
6,1517
4,1520
3,1521
8,1523
7,1526
6,1529
5,1530
5,1543
8,1544
7,1547
8,1550
6,1552
6,1554
7,1563
7,1574
4,1575
5,1576
5,1579
4,1582
8,1584
6,1585
6,1589
6,1596
2,1598
6,1611
3,1613
6,1615
2,1618
6,1627
2,1630
8,1638
6,1639
8,1640
6,1642
6,1645
7,1648
3,1654
7,1661
7,1662
8,1663
4,1666
2,1668
1,1670
7,1672
6,1681
7,1682
1,1683
8,1687
8,1688
7,1693
6,1694
8,1700
6,1704
8,1712
8,1716
7,1717
4,1722
3,1724
1,1738
1,1739
8,1740
8,1761
8,1763
7,1765
6,1766
8,1767
5,1771
7,1772
8,1777
2,1784
5,1799
6,1806
2,1810
4,1812
1,1814
7,1818
8,1819
4,1822
8,1823
1,1824
4,1834
7,1835
4,1844
6,1848
8,1849
5,1850
2,1851
3,1856
1,1862
6,1863
5,1872
3,1874
8,1875
8,1877
7,1900
5,1902
5,1904
2,1905
8,1908
8,1914
1,1916
3,1922
6,1933
5,1934
6,1939
6,1942
8,1947
7,1957
8,1971
2,1973
6,1974
8,1977
6,1981
8,1985
7,1987
6,1989
2,2001
2,2002
1,2007
8,2008
5,2011
7,2021
7,2034
8,2040
4,2044
8,2045
8,2048
7,2051
8,2062
1,2066
5,2068
3,2069
8,2074
7,2075
8,2078
1,2079
2,2080
4,2081
1,2084
8,2085
7,2087
5,2096
6,2102
6,2103
8,2107
5,2117
2,2118
7,2120
2,2121
2,2122
7,2130
2,2136
8,2138
8,2140
7,2143
4,2144
4,2145
7,2147
2,2150
8,2154
1,2155
4,2166
3,2169
5,2173
1,2176
7,2178
3,2179
8,2180
8,2184
8,2185
6,2188
7,2190
7,2194
8,2195
5,2198
8,2205
7,2206
2,2207
6,2212
7,2213
8,2216
2,2218
8,2224
7,2225
8,2228
5,2236
8,2242
5,2246
8,2250
6,2255
1,2256
5,2267
7,2268
5,2269
5,2272
1,2275
